name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district
"Congressional District 1 (118th Congress), Alabama",718903,89273,25.9,-888888888,707943,30839,01,01
"Congressional District 2 (118th Congress), Alabama",714527,89179,25.1,-888888888,693460,31210,01,02
"Congressional District 3 (118th Congress), Alabama",717658,84566,22.4,-888888888,704503,33504,01,03
"Congressional District 4 (118th Congress), Alabama",717747,85569,18.5,-888888888,710232,27340,01,04
"Congressional District 5 (118th Congress), Alabama",720871,104007,35.7,-888888888,709628,23893,01,05
"Congressional District 6 (118th Congress), Alabama",711393,107065,38.8,-888888888,704775,21182,01,06
"Congressional District 7 (118th Congress), Alabama",726993,79752,23.9,-888888888,714440,44487,01,07
"Congressional District (at Large) (118th Congress), Alaska",734821,120033,30.7,-888888888,706392,18617,02,00
"Congressional District 1 (118th Congress), Arizona",789173,132652,50.6,-888888888,785174,23181,04,01
"Congressional District 2 (118th Congress), Arizona",798999,88758,25.0,-888888888,778892,25207,04,02
"Congressional District 3 (118th Congress), Arizona",807937,85268,18.0,-888888888,800108,26657,04,03
"Congressional District 4 (118th Congress), Arizona",801287,107573,37.2,-888888888,797580,24751,04,04
"Congressional District 5 (118th Congress), Arizona",787758,124891,39.7,-888888888,786600,12470,04,05
"Congressional District 6 (118th Congress), Arizona",784933,100405,38.1,-888888888,760238,26650,04,06
"Congressional District 7 (118th Congress), Arizona",806472,79505,20.9,-888888888,784794,34626,04,07
"Congressional District 8 (118th Congress), Arizona",784453,102933,31.5,-888888888,778296,23444,04,08
"Congressional District 9 (118th Congress), Arizona",811270,94501,21.8,-888888888,788638,21313,04,09
"Congressional District 1 (118th Congress), Arkansas",754109,79330,17.6,-888888888,732196,35438,05,01
"Congressional District 2 (118th Congress), Arkansas",751268,92631,32.5,-888888888,741533,31826,05,02
"Congressional District 3 (118th Congress), Arkansas",758572,100572,31.1,-888888888,752384,23468,05,03
"Congressional District 4 (118th Congress), Arkansas",754720,75320,18.0,-888888888,738159,34881,05,04
"Congressional District 1 (118th Congress), California",766231,99234,22.7,-888888888,749527,28998,06,01
"Congressional District 2 (118th Congress), California",763623,147039,42.3,-888888888,753797,22849,06,02
"Congressional District 3 (118th Congress), California",764866,136671,40.2,-888888888,755006,18870,06,03
"Congressional District 4 (118th Congress), California",764345,134045,35.4,-888888888,751823,21279,06,04
"Congressional District 5 (118th Congress), California",761352,117469,30.2,-888888888,751612,21386,06,05
"Congressional District 6 (118th Congress), California",755594,114677,29.3,-888888888,752223,23881,06,06
"Congressional District 7 (118th Congress), California",753515,123864,33.4,-888888888,747846,23411,06,07
"Congressional District 8 (118th Congress), California",752780,128353,29.8,-888888888,746786,18126,06,08
"Congressional District 9 (118th Congress), California",762122,118535,20.4,-888888888,752206,18488,06,09
"Congressional District 10 (118th Congress), California",755993,189794,54.8,-888888888,751221,12754,06,10
"Congressional District 11 (118th Congress), California",735920,237487,64.0,-888888888,732310,25844,06,11
"Congressional District 12 (118th Congress), California",750210,179624,53.5,-888888888,746106,25179,06,12
"Congressional District 13 (118th Congress), California",770975,92066,13.1,-888888888,757038,21153,06,13
"Congressional District 14 (118th Congress), California",751587,187179,46.3,-888888888,747732,11800,06,14
"Congressional District 15 (118th Congress), California",752065,199372,47.9,-888888888,748249,11675,06,15
"Congressional District 16 (118th Congress), California",749237,247939,62.3,-888888888,745167,13256,06,16
"Congressional District 17 (118th Congress), California",751593,233918,62.4,-888888888,747101,10539,06,17
"Congressional District 18 (118th Congress), California",759200,145594,23.5,-888888888,748024,13171,06,18
"Congressional District 19 (118th Congress), California",753931,175514,46.4,-888888888,745858,13069,06,19
"Congressional District 20 (118th Congress), California",762132,114999,28.4,-888888888,748603,19662,06,20
"Congressional District 21 (118th Congress), California",758893,89460,16.4,-888888888,751264,30717,06,21
"Congressional District 22 (118th Congress), California",780816,80180,9.8,-888888888,752981,28229,06,22
"Congressional District 23 (118th Congress), California",758852,96717,20.3,-888888888,735035,23724,06,23
"Congressional District 24 (118th Congress), California",760229,138408,37.8,-888888888,747310,21362,06,24
"Congressional District 25 (118th Congress), California",763179,88818,16.4,-888888888,746453,28417,06,25
"Congressional District 26 (118th Congress), California",757602,146898,36.2,-888888888,751325,12390,06,26
"Congressional District 27 (118th Congress), California",747561,126143,29.3,-888888888,737580,16723,06,27
"Congressional District 28 (118th Congress), California",748192,158381,46.9,-888888888,742972,18519,06,28
"Congressional District 29 (118th Congress), California",742347,114183,23.9,-888888888,738440,26948,06,29
"Congressional District 30 (118th Congress), California",744757,158537,49.5,-888888888,740136,35337,06,30
"Congressional District 31 (118th Congress), California",749679,119604,24.3,-888888888,745451,15431,06,31
"Congressional District 32 (118th Congress), California",764598,166661,51.0,-888888888,760656,20442,06,32
"Congressional District 33 (118th Congress), California",757643,111845,20.5,-888888888,747994,17898,06,33
"Congressional District 34 (118th Congress), California",766809,122275,27.5,-888888888,753856,36899,06,34
"Congressional District 35 (118th Congress), California",767456,114677,21.8,-888888888,757277,15537,06,35
"Congressional District 36 (118th Congress), California",740438,196355,65.4,-888888888,737171,20137,06,36
"Congressional District 37 (118th Congress), California",756145,114834,27.6,-888888888,753677,34125,06,37
"Congressional District 38 (118th Congress), California",754110,128653,29.2,-888888888,750241,14168,06,38
"Congressional District 39 (118th Congress), California",759924,110737,18.7,-888888888,756251,13993,06,39
"Congressional District 40 (118th Congress), California",754432,173044,50.3,-888888888,752292,12691,06,40
"Congressional District 41 (118th Congress), California",770422,123671,29.7,-888888888,763295,17613,06,41
"Congressional District 42 (118th Congress), California",752589,125289,24.9,-888888888,748643,22848,06,42
"Congressional District 43 (118th Congress), California",747415,109800,21.1,-888888888,744682,24255,06,43
"Congressional District 44 (118th Congress), California",756441,120877,22.5,-888888888,749480,19414,06,44
"Congressional District 45 (118th Congress), California",756570,144563,37.2,-888888888,753338,15313,06,45
"Congressional District 46 (118th Congress), California",759331,127302,22.2,-888888888,751387,16376,06,46
"Congressional District 47 (118th Congress), California",753964,184366,58.2,-888888888,751703,17721,06,47
"Congressional District 48 (118th Congress), California",764088,137837,32.9,-888888888,752536,14416,06,48
"Congressional District 49 (118th Congress), California",756381,164939,47.1,-888888888,723922,13441,06,49
"Congressional District 50 (118th Congress), California",735988,173024,58.6,-888888888,713999,19660,06,50
"Congressional District 51 (118th Congress), California",762631,142540,44.3,-888888888,743324,18017,06,51
"Congressional District 52 (118th Congress), California",769351,121731,23.4,-888888888,741634,19500,06,52
"Congressional District 1 (118th Congress), Colorado",717038,133218,54.3,-888888888,710182,26808,08,01
"Congressional District 2 (118th Congress), Colorado",718206,137731,57.9,-888888888,713250,22223,08,02
"Congressional District 3 (118th Congress), Colorado",723027,88387,31.6,-888888888,713587,28447,08,03
"Congressional District 4 (118th Congress), Colorado",727411,139390,46.3,-888888888,717854,13351,08,04
"Congressional District 5 (118th Congress), Colorado",722030,111283,40.3,-888888888,685252,18555,08,05
"Congressional District 6 (118th Congress), Colorado",721810,123794,43.9,-888888888,715644,17499,08,06
"Congressional District 7 (118th Congress), Colorado",719604,129617,46.7,-888888888,703252,16424,08,07
"Congressional District 8 (118th Congress), Colorado",721664,114308,27.9,-888888888,716698,16781,08,08
"Congressional District 1 (118th Congress), Connecticut",718451,122802,38.4,-888888888,710591,25833,09,01
"Congressional District 2 (118th Congress), Connecticut",723724,125952,38.5,-888888888,706242,19322,09,02
"Congressional District 3 (118th Congress), Connecticut",723601,127877,39.3,-888888888,717447,24756,09,03
"Congressional District 4 (118th Congress), Connecticut",722029,178818,53.0,-888888888,717572,19547,09,04
"Congressional District 5 (118th Congress), Connecticut",723512,125019,38.0,-888888888,715164,22888,09,05
"Congressional Districts not defined (118th Congress), Connecticut",0,-666666666,,-888888888,0,0,09,ZZ
"Congressional District (at Large) (118th Congress), Delaware",993635,106744,34.5,-888888888,979853,30093,10,00
"Delegate District (at Large) (118th Congress), District of Columbia",670587,178717,62.6,-888888888,661596,29695,11,98
"Congressional District 1 (118th Congress), Florida",772291,97787,30.5,-888888888,730188,23401,12,01
"Congressional District 2 (118th Congress), Florida",775769,89969,29.6,-888888888,734969,32395,12,02
"Congressional District 3 (118th Congress), Florida",769691,85834,27.6,-888888888,735568,33260,12,03
"Congressional District 4 (118th Congress), Florida",775118,90907,25.0,-888888888,759108,27175,12,04
"Congressional District 5 (118th Congress), Florida",770573,114009,43.8,-888888888,756172,19267,12,05
"Congressional District 6 (118th Congress), Florida",779543,82435,23.7,-888888888,770419,32422,12,06
"Congressional District 7 (118th Congress), Florida",771916,97381,35.3,-888888888,766703,22882,12,07
"Congressional District 8 (118th Congress), Florida",773536,92253,32.9,-888888888,765150,24875,12,08
"Congressional District 9 (118th Congress), Florida",754301,87011,31.3,-888888888,750914,19883,12,09
"Congressional District 10 (118th Congress), Florida",785358,99877,35.7,-888888888,775733,27627,12,10
"Congressional District 11 (118th Congress), Florida",776905,99162,33.5,-888888888,762928,17591,12,11
"Congressional District 12 (118th Congress), Florida",770735,81742,23.0,-888888888,761581,30516,12,12
"Congressional District 13 (118th Congress), Florida",768555,97778,33.4,-888888888,756340,31329,12,13
"Congressional District 14 (118th Congress), Florida",772661,104007,39.4,-888888888,763927,31692,12,14
"Congressional District 15 (118th Congress), Florida",785390,101597,31.9,-888888888,778055,27771,12,15
"Congressional District 16 (118th Congress), Florida",774262,105420,33.5,-888888888,766644,20540,12,16
"Congressional District 17 (118th Congress), Florida",785836,89356,31.4,-888888888,776349,28166,12,17
"Congressional District 18 (118th Congress), Florida",780642,80428,18.8,-888888888,765091,27000,12,18
