name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district
"Congressional District 1 (119th Congress), Alabama",735406,95233,25.5,-888888888,721079,26399,01,01
"Congressional District 2 (119th Congress), Alabama",710301,84400,26.2,-888888888,693408,37607,01,02
"Congressional District 3 (119th Congress), Alabama",726115,90527,24.1,-888888888,714667,31540,01,03
"Congressional District 4 (119th Congress), Alabama",727005,93041,21.4,-888888888,719211,25813,01,04
"Congressional District 5 (119th Congress), Alabama",745693,109357,36.1,-888888888,735629,22739,01,05
"Congressional District 6 (119th Congress), Alabama",721709,114372,38.4,-888888888,709312,18255,01,06
"Congressional District 7 (119th Congress), Alabama",720539,89698,26.7,-888888888,710399,40044,01,07
"Congressional District (at Large) (119th Congress), Alaska",735706,129633,31.7,-888888888,704290,17707,02,00
"Congressional District 1 (119th Congress), Arizona",804578,141238,52.5,-888888888,800352,20883,04,01
"Congressional District 2 (119th Congress), Arizona",826257,96673,26.2,-888888888,809526,25221,04,02
"Congressional District 3 (119th Congress), Arizona",815927,95732,20.4,-888888888,806860,24723,04,03
"Congressional District 4 (119th Congress), Arizona",804739,117254,39.2,-888888888,800625,22855,04,04
"Congressional District 5 (119th Congress), Arizona",840221,136346,40.8,-888888888,838779,12416,04,05
"Congressional District 6 (119th Congress), Arizona",812709,107177,39.5,-888888888,789939,27256,04,06
"Congressional District 7 (119th Congress), Arizona",808224,86024,22.2,-888888888,785969,31388,04,07
"Congressional District 8 (119th Congress), Arizona",802956,110746,33.1,-888888888,796376,22548,04,08
"Congressional District 9 (119th Congress), Arizona",863227,102271,22.9,-888888888,839417,21330,04,09
"Congressional District 1 (119th Congress), Arkansas",752719,84721,18.4,-888888888,730722,35221,05,01
"Congressional District 2 (119th Congress), Arkansas",761775,98685,33.3,-888888888,751983,29500,05,02
"Congressional District 3 (119th Congress), Arkansas",786435,112494,32.1,-888888888,780164,21941,05,03
"Congressional District 4 (119th Congress), Arkansas",748462,80639,19.1,-888888888,732628,35493,05,04
"Congressional District 1 (119th Congress), California",760971,107714,23.6,-888888888,745375,29166,06,01
"Congressional District 2 (119th Congress), California",755468,156643,43.2,-888888888,745886,22039,06,02
"Congressional District 3 (119th Congress), California",778710,146083,41.6,-888888888,769085,19146,06,03
"Congressional District 4 (119th Congress), California",764257,142897,36.2,-888888888,751421,21561,06,04
"Congressional District 5 (119th Congress), California",772813,127332,31.5,-888888888,762901,21183,06,05
"Congressional District 6 (119th Congress), California",757721,120961,30.9,-888888888,754202,23406,06,06
"Congressional District 7 (119th Congress), California",764052,134991,34.9,-888888888,757994,20979,06,07
"Congressional District 8 (119th Congress), California",752539,136088,30.3,-888888888,746085,17585,06,08
"Congressional District 9 (119th Congress), California",774084,129414,22.7,-888888888,765746,18019,06,09
"Congressional District 10 (119th Congress), California",760299,202473,55.6,-888888888,754921,13009,06,10
"Congressional District 11 (119th Congress), California",719712,250001,64.2,-888888888,716409,26941,06,11
"Congressional District 12 (119th Congress), California",748393,193672,54.1,-888888888,744076,25282,06,12
"Congressional District 13 (119th Congress), California",785894,99835,14.1,-888888888,771509,21250,06,13
"Congressional District 14 (119th Congress), California",738570,203176,48.1,-888888888,734856,11869,06,14
"Congressional District 15 (119th Congress), California",738509,217164,49.1,-888888888,734678,11530,06,15
"Congressional District 16 (119th Congress), California",746476,250001,63.3,-888888888,742701,12653,06,16
"Congressional District 17 (119th Congress), California",749526,250001,63.6,-888888888,745335,10864,06,17
"Congressional District 18 (119th Congress), California",753842,156188,24.4,-888888888,742394,12748,06,18
"Congressional District 19 (119th Congress), California",745177,187405,47.9,-888888888,737432,14058,06,19
"Congressional District 20 (119th Congress), California",782028,121728,29.1,-888888888,769118,18798,06,20
"Congressional District 21 (119th Congress), California",758000,98888,17.1,-888888888,750741,28929,06,21
"Congressional District 22 (119th Congress), California",780759,87479,10.2,-888888888,752263,26254,06,22
"Congressional District 23 (119th Congress), California",764069,102903,21.2,-888888888,740467,22430,06,23
"Congressional District 24 (119th Congress), California",757747,147127,39.2,-888888888,744714,20684,06,24
"Congressional District 25 (119th Congress), California",780646,100951,17.3,-888888888,764572,24682,06,25
"Congressional District 26 (119th Congress), California",751824,156658,37.5,-888888888,745765,12702,06,26
"Congressional District 27 (119th Congress), California",746656,135479,30.4,-888888888,737947,15224,06,27
"Congressional District 28 (119th Congress), California",743063,169647,48.4,-888888888,738387,17774,06,28
"Congressional District 29 (119th Congress), California",734777,124577,24.7,-888888888,731138,24277,06,29
"Congressional District 30 (119th Congress), California",743383,172263,51.8,-888888888,738942,33230,06,30
"Congressional District 31 (119th Congress), California",736368,131041,25.3,-888888888,732417,15440,06,31
"Congressional District 32 (119th Congress), California",762403,180028,52.5,-888888888,758635,20838,06,32
"Congressional District 33 (119th Congress), California",764959,120458,21.1,-888888888,757986,16273,06,33
"Congressional District 34 (119th Congress), California",748464,136204,29.4,-888888888,736560,36651,06,34
"Congressional District 35 (119th Congress), California",764518,126867,23.4,-888888888,755241,14932,06,35
"Congressional District 36 (119th Congress), California",738907,210899,67.0,-888888888,735217,20211,06,36
"Congressional District 37 (119th Congress), California",745432,126314,29.6,-888888888,742794,35116,06,37
"Congressional District 38 (119th Congress), California",740416,135159,30.5,-888888888,736992,14766,06,38
"Congressional District 39 (119th Congress), California",765795,117655,20.0,-888888888,762365,14149,06,39
"Congressional District 40 (119th Congress), California",753713,183331,51.5,-888888888,751641,12856,06,40
"Congressional District 41 (119th Congress), California",797949,134436,31.6,-888888888,790341,17338,06,41
"Congressional District 42 (119th Congress), California",736570,137988,26.0,-888888888,732763,20281,06,42
"Congressional District 43 (119th Congress), California",729891,122001,22.3,-888888888,727194,24181,06,43
"Congressional District 44 (119th Congress), California",744757,131490,23.6,-888888888,738318,18738,06,44
"Congressional District 45 (119th Congress), California",748896,154961,38.7,-888888888,745783,15350,06,45
"Congressional District 46 (119th Congress), California",757342,136400,22.6,-888888888,750828,16453,06,46
"Congressional District 47 (119th Congress), California",754999,194776,59.8,-888888888,753151,16003,06,47
"Congressional District 48 (119th Congress), California",760621,148069,34.7,-888888888,749015,12902,06,48
"Congressional District 49 (119th Congress), California",754648,176605,49.4,-888888888,721902,13275,06,49
"Congressional District 50 (119th Congress), California",754032,189731,60.3,-888888888,732040,19186,06,50
"Congressional District 51 (119th Congress), California",759191,153702,46.6,-888888888,739262,17226,06,51
"Congressional District 52 (119th Congress), California",757541,131801,25.3,-888888888,730908,17868,06,52
"Congressional District 1 (119th Congress), Colorado",724976,147436,56.5,-888888888,717701,25318,08,01
"Congressional District 2 (119th Congress), Colorado",725063,150785,59.7,-888888888,720701,22005,08,02
"Congressional District 3 (119th Congress), Colorado",728794,96069,33.3,-888888888,719077,28008,08,03
"Congressional District 4 (119th Congress), Colorado",756186,148931,48.1,-888888888,745982,14816,08,04
"Congressional District 5 (119th Congress), Colorado",734906,121724,42.0,-888888888,695012,17159,08,05
"Congressional District 6 (119th Congress), Colorado",728750,136918,45.4,-888888888,722340,16758,08,06
"Congressional District 7 (119th Congress), Colorado",723678,141038,49.6,-888888888,708361,15832,08,07
"Congressional District 8 (119th Congress), Colorado",739836,125527,29.8,-888888888,735174,17634,08,08
"Congressional District 1 (119th Congress), Connecticut",721392,130103,39.4,-888888888,713529,25629,09,01
"Congressional District 2 (119th Congress), Connecticut",722183,134907,39.7,-888888888,705285,19257,09,02
"Congressional District 3 (119th Congress), Connecticut",724297,135164,40.5,-888888888,718791,23374,09,03
"Congressional District 4 (119th Congress), Connecticut",728656,196772,53.8,-888888888,724674,19070,09,04
"Congressional District 5 (119th Congress), Connecticut",727980,132450,39.2,-888888888,719388,23475,09,05
"Congressional Districts not defined (119th Congress), Connecticut",0,-666666666,,-888888888,0,0,09,ZZ
"Congressional District (at Large) (119th Congress), Delaware",1021191,113956,35.8,-888888888,1007567,28192,10,00
"Delegate District (at Large) (119th Congress), District of Columbia",681294,194366,64.2,-888888888,671766,29898,11,98
"Congressional District 1 (119th Congress), Florida",793302,105567,32.2,-888888888,750170,21644,12,01
"Congressional District 2 (119th Congress), Florida",792630,96990,31.6,-888888888,752403,32042,12,02
"Congressional District 3 (119th Congress), Florida",798141,92089,29.2,-888888888,765423,33862,12,03
"Congressional District 4 (119th Congress), Florida",797286,99590,27.2,-888888888,780113,28672,12,04
"Congressional District 5 (119th Congress), Florida",818508,126006,46.3,-888888888,804487,21105,12,05
"Congressional District 6 (119th Congress), Florida",816594,87971,25.5,-888888888,806402,31861,12,06
"Congressional District 7 (119th Congress), Florida",789605,105316,36.9,-888888888,784144,20401,12,07
"Congressional District 8 (119th Congress), Florida",801628,101360,34.1,-888888888,792735,24426,12,08
"Congressional District 9 (119th Congress), Florida",821565,95669,33.9,-888888888,818145,21243,12,09
"Congressional District 10 (119th Congress), Florida",788933,105686,37.1,-888888888,779100,27116,12,10
"Congressional District 11 (119th Congress), Florida",826010,108915,35.9,-888888888,812280,20413,12,11
"Congressional District 12 (119th Congress), Florida",820692,89323,24.3,-888888888,812195,29626,12,12
"Congressional District 13 (119th Congress), Florida",769211,104748,35.1,-888888888,757540,28513,12,13
"Congressional District 14 (119th Congress), Florida",786912,116037,41.6,-888888888,778041,30631,12,14
"Congressional District 15 (119th Congress), Florida",813472,110539,33.9,-888888888,805989,26855,12,15
"Congressional District 16 (119th Congress), Florida",830753,115243,35.8,-888888888,822890,21623,12,16
"Congressional District 17 (119th Congress), Florida",828650,98339,33.3,-888888888,818428,27334,12,17
"Congressional District 18 (119th Congress), Florida",825024,88225,20.6,-888888888,809708,27584,12,18
"Congressional District 19 (119th Congress), Florida",808421,105376,37.6,-888888888,801365,25945,12,19
"Congressional District 20 (119th Congress), Florida",792510,90915,25.9,-888888888,783412,32107,12,20
"Congressional District 21 (119th Congress), Florida",812005,108255,36.2,-888888888,804586,23992,12,21
"Congressional District 22 (119th Congress), Florida",786471,108735,38.4,-888888888,780681,25455,12,22
"Congressional District 23 (119th Congress), Florida",778879,123905,45.1,-888888888,770999,26083,12,23
"Congressional District 24 (119th Congress), Florida",793181,91101,31.5,-888888888,788428,31672,12,24
"Congressional District 25 (119th Congress), Florida",780689,128561,42.0,-888888888,777769,25549,12,25
"Congressional District 26 (119th Congress), Florida",804169,104466,30.7,-888888888,796049,27081,12,26
"Congressional District 27 (119th Congress), Florida",764988,134621,43.6,-888888888,759988,30008,12,27
"Congressional District 28 (119th Congress), Florida",775848,108968,30.5,-888888888,766949,19832,12,28
"Congressional District 1 (119th Congress), Georgia",787122,99414,29.1,-888888888,756511,26920,13,01
"Congressional District 2 (119th Congress), Georgia",754620,86990,21.8,-888888888,721728,42793,13,02
"Congressional District 3 (119th Congress), Georgia",785402,108187,30.0,-888888888,776483,22914,13,03
"Congressional District 4 (119th Congress), Georgia",765448,106287,39.0,-888888888,761950,23412,13,04
"Congressional District 5 (119th Congress), Georgia",764559,129377,49.8,-888888888,755338,36500,13,05
"Congressional District 6 (119th Congress), Georgia",778880,124209,47.7,-888888888,773824,22014,13,06
"Congressional District 7 (119th Congress), Georgia",790971,166263,58.1,-888888888,787987,12158,13,07
"Congressional District 8 (119th Congress), Georgia",774685,97552,23.4,-888888888,745153,31706,13,08
"Congressional District 9 (119th Congress), Georgia",800737,112527,31.9,-888888888,791784,20013,13,09
"Congressional District 10 (119th Congress), Georgia",801805,103920,29.8,-888888888,791092,25010,13,10
"Congressional District 11 (119th Congress), Georgia",784112,131832,42.2,-888888888,777566,18268,13,11
"Congressional District 12 (119th Congress), Georgia",774597,97178,24.6,-888888888,742971,32904,13,12
"Congressional District 13 (119th Congress), Georgia",794711,98816,32.2,-888888888,790079,16825,13,13
"Congressional District 14 (119th Congress), Georgia",782758,109025,28.0,-888888888,773982,18766,13,14
"Congressional District 1 (119th Congress), Hawaii",719645,147125,39.9,-888888888,686962,15222,15,01
"Congressional District 2 (119th Congress), Hawaii",725590,130220,32.3,-888888888,698846,15504,15,02
"Congressional District 1 (119th Congress), Idaho",986280,103820,30.0,-888888888,972626,22466,16,01
"Congressional District 2 (119th Congress), Idaho",947982,101858,33.8,-888888888,934819,25148,16,02
"Congressional District 1 (119th Congress), Illinois",739958,113549,32.3,-888888888,734803,37894,17,01
"Congressional District 2 (119th Congress), Illinois",742590,93678,24.9,-888888888,732209,35457,17,02
"Congressional District 3 (119th Congress), Illinois",739663,131661,37.1,-888888888,735329,20552,17,03
"Congressional District 4 (119th Congress), Illinois",729797,113572,24.8,-888888888,718425,20505,17,04
"Congressional District 5 (119th Congress), Illinois",751305,173783,66.1,-888888888,745838,19866,17,05
"Congressional District 6 (119th Congress), Illinois",747517,131165,44.2,-888888888,742172,18899,17,06
"Congressional District 7 (119th Congress), Illinois",744315,134001,48.0,-888888888,740670,39816,17,07
"Congressional District 8 (119th Congress), Illinois",746772,126162,40.0,-888888888,742612,15852,17,08
