name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district
"Congressional District 1 (116th Congress), Alabama",714379,79215,25.5,-888888888,703262,34142,01,01
"Congressional District 2 (116th Congress), Alabama",678978,76765,23.6,-888888888,657555,34302,01,02
"Congressional District 3 (116th Congress), Alabama",713404,77028,23.2,-888888888,700481,35298,01,03
"Congressional District 4 (116th Congress), Alabama",687640,74245,18.1,-888888888,681392,29363,01,04
"Congressional District 5 (116th Congress), Alabama",728414,87733,33.2,-888888888,716721,30054,01,05
"Congressional District 6 (116th Congress), Alabama",708092,96028,37.3,-888888888,700193,21665,01,06
"Congressional District 7 (116th Congress), Alabama",662279,64740,21.7,-888888888,653825,48415,01,07
"Congressional District 1 (116th Congress), California",704482,87094,25.2,-888888888,687812,34424,06,01
"Congressional District 2 (116th Congress), California",714171,126404,42.5,-888888888,703841,25724,06,02
"Congressional District 3 (116th Congress), California",746967,103650,26.6,-888888888,727393,22349,06,03
"Congressional District 4 (116th Congress), California",750420,113232,35.2,-888888888,740027,22991,06,04
"Congressional District 5 (116th Congress), California",724984,117853,33.3,-888888888,719005,20686,06,05
"Congressional District 6 (116th Congress), California",764174,95733,30.0,-888888888,759184,33694,06,06
"Congressional District 7 (116th Congress), California",762260,113100,33.9,-888888888,754486,21549,06,07
"Congressional District 8 (116th Congress), California",729399,81028,17.1,-888888888,709063,27292,06,08
"Congressional District 10 (116th Congress), California",757213,97731,18.2,-888888888,751119,22479,06,10
"Congressional District 11 (116th Congress), California",760284,144006,45.5,-888888888,756201,18321,06,11
"Congressional District 13 (116th Congress), California",760817,152606,50.9,-888888888,756607,28010,06,13
"Congressional District 15 (116th Congress), California",788527,167199,47.3,-888888888,784036,12368,06,15
"Congressional District 17 (116th Congress), California",776763,186356,60.0,-888888888,772222,12032,06,17
"Congressional District 19 (116th Congress), California",758327,160107,37.4,-888888888,755684,14603,06,19
"Congressional District 20 (116th Congress), California",736750,119816,29.5,-888888888,719713,17385,06,20
"Congressional District 22 (116th Congress), California",769728,93722,26.0,-888888888,764483,24846,06,22
"Congressional District 24 (116th Congress), California",736030,117466,35.5,-888888888,722225,22464,06,24
"Congressional District 26 (116th Congress), California",724221,124442,34.1,-888888888,716946,14751,06,26
"Congressional District 28 (116th Congress), California",712193,140729,47.3,-888888888,708157,40043,06,28
"Congressional District 29 (116th Congress), California",715422,101218,21.3,-888888888,711762,27832,06,29
"Congressional District 31 (116th Congress), California",752561,101331,24.7,-888888888,737566,21943,06,31
"Congressional District 33 (116th Congress), California",708972,184775,66.5,-888888888,705784,21657,06,33
"Congressional District 35 (116th Congress), California",748454,91264,17.3,-888888888,733549,17821,06,35
"Congressional District 37 (116th Congress), California",727449,113665,40.9,-888888888,724979,36534,06,37
"Congressional District 3 (116th Congress), Michigan",747357,88760,32.9,-888888888,738017,27754,26,03
"Congressional District 5 (116th Congress), Michigan",674536,70929,20.1,-888888888,669618,39966,26,05
"Congressional District 7 (116th Congress), Michigan",706645,85153,25.8,-888888888,689567,25314,26,07
"Congressional District 9 (116th Congress), Michigan",715687,86375,31.7,-888888888,710867,29899,26,09
"Congressional District 10 (116th Congress), Michigan",720318,91105,24.7,-888888888,713602,26466,26,10
"Congressional District 12 (116th Congress), Michigan",710072,94592,36.4,-888888888,705139,32672,26,12
"Congressional District 14 (116th Congress), Michigan",688778,88841,32.7,-888888888,680672,43593,26,14
"Congressional District 1 (116th Congress), Mississippi",765835,76627,21.5,-888888888,754288,34227,28,01
"Congressional District 3 (116th Congress), Mississippi",748342,80599,27.1,-888888888,729774,35824,28,03
"Congressional District 4 (116th Congress), Mississippi",773211,74637,22.4,-888888888,752803,39754,28,04
"Congressional District 2 (116th Congress), New Mexico",700971,70065,21.8,-888888888,682268,33534,35,02
"Congressional District (at Large) (116th Congress), North Dakota",760394,99530,30.7,-888888888,743105,31912,38,00
"Congressional District 2 (116th Congress), Arizona",732897,82818,35.7,-888888888,709021,37930,04,02
"Congressional District 4 (116th Congress), Arizona",811947,72498,20.5,-888888888,788248,32923,04,04
"Congressional District 5 (116th Congress), Arizona",842222,107637,37.3,-888888888,840606,19180,04,05
"Congressional District 7 (116th Congress), Arizona",827379,71768,15.7,-888888888,821003,32872,04,07
"Congressional District 9 (116th Congress), Arizona",793633,97921,40.6,-888888888,790852,31245,04,09
"Congressional District 2 (116th Congress), Kansas",715946,83222,30.1,-888888888,699335,32705,20,02
"Congressional District 4 (116th Congress), Kansas",724511,85217,30.0,-888888888,712372,31440,20,04
"Congressional District 1 (116th Congress), Kentucky",718344,70389,17.9,-888888888,695835,36583,21,01
"Congressional District 3 (116th Congress), Kentucky",744444,85446,33.0,-888888888,735929,35805,21,03
"Congressional District 5 (116th Congress), Kentucky",693463,61833,13.9,-888888888,677098,41820,21,05
"Congressional District 1 (116th Congress), Maine",686598,93134,39.3,-888888888,677434,26846,23,01
"Congressional District 1 (116th Congress), Minnesota",677943,91184,30.2,-888888888,667722,23543,27,01
"Congressional District 2 (116th Congress), Minnesota",710272,112991,40.1,-888888888,705218,15028,27,02
"Congressional District 4 (116th Congress), Minnesota",715331,110292,44.6,-888888888,708537,23429,27,04
"Congressional District 6 (116th Congress), Minnesota",720083,105195,31.0,-888888888,713412,15548,27,06
"Congressional District 8 (116th Congress), Minnesota",669189,82809,24.5,-888888888,657252,27685,27,08
"Congressional District 1 (116th Congress), Missouri",725037,76889,33.3,-888888888,716758,48201,29,01
"Congressional District 2 (116th Congress), Missouri",762478,115850,50.5,-888888888,753106,17643,29,02
"Congressional District 3 (116th Congress), Missouri",796189,90766,28.2,-888888888,784742,22268,29,03
"Congressional District 4 (116th Congress), Missouri",771796,78336,26.1,-888888888,743048,32508,29,04
"Congressional District 5 (116th Congress), Missouri",773768,83053,29.2,-888888888,765992,40105,29,05
"Congressional District 6 (116th Congress), Missouri",775367,90287,28.9,-888888888,756128,26203,29,06
"Congressional District 7 (116th Congress), Missouri",782474,73195,25.3,-888888888,774437,38832,29,07
"Congressional District 8 (116th Congress), Missouri",737051,68674,17.0,-888888888,717757,39791,29,08
"Congressional District 1 (116th Congress), Florida",785773,83228,28.6,-888888888,743496,26668,12,01
"Congressional District 2 (116th Congress), Florida",726881,75552,24.2,-888888888,686541,29024,12,02
"Congressional District 3 (116th Congress), Florida",747806,81430,29.0,-888888888,723849,34402,12,03
"Congressional District 4 (116th Congress), Florida",820783,98608,41.1,-888888888,803239,20322,12,04
"Congressional District 5 (116th Congress), Florida",737321,66701,21.4,-888888888,710014,42328,12,05
"Congressional District 6 (116th Congress), Florida",783276,74048,24.6,-888888888,776346,33987,12,06
"Congressional District 7 (116th Congress), Florida",775811,94897,41.5,-888888888,770661,26684,12,07
"Congressional District 8 (116th Congress), Florida",766728,79727,30.8,-888888888,759679,29554,12,08
"Congressional District 9 (116th Congress), Florida",895237,74841,25.8,-888888888,887601,30041,12,09
"Congressional District 11 (116th Congress), Florida",790906,64941,21.8,-888888888,774759,34019,12,11
"Congressional District 13 (116th Congress), Florida",736584,84465,31.6,-888888888,725909,36812,12,13
"Congressional District 15 (116th Congress), Florida",805103,81577,26.6,-888888888,797450,27340,12,15
"Congressional District 16 (116th Congress), Florida",853737,88451,33.0,-888888888,845522,29981,12,16
"Congressional District 18 (116th Congress), Florida",781418,88440,32.6,-888888888,775016,27414,12,18
"Congressional District 20 (116th Congress), Florida",791022,70906,21.8,-888888888,777549,38182,12,20
