name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district
"Congressional District 22 (116th Congress), Florida",765204,97491,40.7,-888888888,760490,30599,12,22
"Congressional District 23 (116th Congress), Florida",768038,103431,40.6,-888888888,765700,30714,12,23
"Congressional District 25 (116th Congress), Florida",775411,79745,25.9,-888888888,769043,33302,12,25
"Congressional District 27 (116th Congress), Florida",748601,114302,41.5,-888888888,744885,37945,12,27
"Congressional District 38 (116th Congress), California",706482,106752,24.8,-888888888,702606,16230,06,38
"Congressional District 40 (116th Congress), California",708362,87011,11.4,-888888888,706421,21819,06,40
"Congressional District 42 (116th Congress), California",822515,115024,26.9,-888888888,814580,14083,06,42
"Congressional District 44 (116th Congress), California",711773,90530,14.4,-888888888,706095,23818,06,44
"Congressional District 46 (116th Congress), California",730071,108453,21.0,-888888888,720437,16391,06,46
"Congressional District 47 (116th Congress), California",709979,119691,33.8,-888888888,706210,23919,06,47
"Congressional District 49 (116th Congress), California",741671,144120,46.1,-888888888,712017,14246,06,49
"Congressional District 51 (116th Congress), California",736161,86719,16.1,-888888888,699729,27511,06,51
"Congressional District 53 (116th Congress), California",769064,119946,39.3,-888888888,752545,20519,06,53
"Congressional District 2 (116th Congress), Arkansas",765408,81692,30.8,-888888888,755342,35097,05,02
"Congressional District 3 (116th Congress), Arkansas",820935,84417,29.2,-888888888,814218,32285,05,03
"Congressional District 1 (116th Congress), Connecticut",709090,111785,38.0,-888888888,702131,28142,09,01
"Congressional District 3 (116th Congress), Connecticut",711468,112403,37.3,-888888888,705073,28073,09,03
"Congressional District 5 (116th Congress), Connecticut",711957,111407,36.7,-888888888,702820,25416,09,05
"Delegate District (at Large) (116th Congress), District of Columbia",701974,157957,59.8,-888888888,692059,29759,11,98
"Congressional District (at Large) (116th Congress), Alaska",736990,110091,30.0,-888888888,711104,18556,02,00
"Congressional District 2 (116th Congress), Colorado",817394,118562,56.1,-888888888,812040,24835,08,02
"Congressional District 4 (116th Congress), Colorado",837275,107800,36.1,-888888888,824504,22230,08,04
"Congressional District 6 (116th Congress), Colorado",825402,112839,43.2,-888888888,817045,17375,08,06
"Congressional District (at Large) (116th Congress), Delaware",967679,94003,32.7,-888888888,951930,32097,10,00
"Congressional District (at Large) (116th Congress), Montana",1061705,82254,33.1,-888888888,1046670,47451,30,00
"Congressional District 2 (116th Congress), Georgia",665536,68759,18.4,-888888888,632596,45488,13,02
"Congressional District 4 (116th Congress), Georgia",756133,80862,32.4,-888888888,750588,28067,13,04
"Congressional District 6 (116th Congress), Georgia",759318,147254,63.5,-888888888,757109,15397,13,06
"Congressional District 8 (116th Congress), Georgia",710259,80860,22.9,-888888888,685526,34326,13,08
"Congressional District 10 (116th Congress), Georgia",756449,86987,27.9,-888888888,742085,32150,13,10
"Congressional District 11 (116th Congress), Georgia",777408,107918,42.4,-888888888,770979,21163,13,11
"Congressional District 12 (116th Congress), Georgia",729203,78854,22.1,-888888888,699236,36662,13,12
"Congressional District 13 (116th Congress), Georgia",770115,80699,29.6,-888888888,764023,24458,13,13
"Congressional District 14 (116th Congress), Georgia",724177,79130,18.8,-888888888,714863,26895,13,14
"Congressional District 1 (116th Congress), Hawaii",706681,126029,36.9,-888888888,677227,15963,15,01
"Congressional District 2 (116th Congress), Hawaii",713393,110255,30.1,-888888888,687945,16945,15,02
"Congressional District 1 (116th Congress), Idaho",913009,80832,27.3,-888888888,902778,28829,16,01
"Congressional District 2 (116th Congress), Idaho",841358,77132,30.2,-888888888,829328,32111,16,02
"Congressional District 1 (116th Congress), Illinois",705263,91387,30.1,-888888888,700892,40332,17,01
"Congressional District 2 (116th Congress), Illinois",692805,79007,23.7,-888888888,686728,37615,17,02
"Congressional District 3 (116th Congress), Illinois",708422,102774,29.4,-888888888,700763,21812,17,03
"Congressional District 4 (116th Congress), Illinois",683260,92906,26.9,-888888888,681070,24272,17,04
"Congressional District 5 (116th Congress), Illinois",737812,135964,56.9,-888888888,733517,21649,17,05
"Congressional District 6 (116th Congress), Illinois",723356,132796,53.7,-888888888,718636,13105,17,06
"Congressional District 7 (116th Congress), Illinois",720942,109826,44.1,-888888888,706195,45477,17,07
"Congressional District 8 (116th Congress), Illinois",708921,97589,34.3,-888888888,704914,18019,17,08
"Congressional District 10 (116th Congress), Illinois",705705,121724,45.9,-888888888,686506,18503,17,10
"Congressional District 12 (116th Congress), Illinois",690097,82282,24.3,-888888888,671185,38291,17,12
"Congressional District 14 (116th Congress), Illinois",741407,121961,42.9,-888888888,737857,14738,17,14
"Congressional District 16 (116th Congress), Illinois",691553,86329,23.2,-888888888,678650,26518,17,16
"Congressional District 18 (116th Congress), Illinois",700594,92037,33.0,-888888888,686904,23988,17,18
"Congressional Districts not defined (116th Congress), Illinois",0,-666666666,,-888888888,0,0,17,ZZ
"Congressional District 2 (116th Congress), Iowa",782527,86279,29.4,-888888888,770986,35282,19,02
"Congressional District 4 (116th Congress), Iowa",753385,82682,25.1,-888888888,741396,32091,19,04
"Congressional District 2 (116th Congress), Maryland",768582,103995,33.4,-888888888,748199,24861,24,02
"Congressional District 4 (116th Congress), Maryland",755373,118993,35.7,-888888888,748384,17583,24,04
"Congressional District 6 (116th Congress), Maryland",770857,118232,42.7,-888888888,751805,19896,24,06
"Congressional District 7 (116th Congress), Maryland",717953,110153,39.8,-888888888,707582,34661,24,07
"Congressional District 1 (116th Congress), Michigan",697635,71232,26.9,-888888888,682226,32397,26,01
"Congressional District 3 (116th Congress), Nebraska",599525,80919,22.9,-888888888,589756,25765,31,03
"Congressional District 2 (116th Congress), Nevada",725776,94265,27.7,-888888888,716149,24997,32,02
"Congressional District 4 (116th Congress), Nevada",767748,84000,21.6,-888888888,749933,25587,32,04
"Congressional District 2 (116th Congress), New Hampshire",670958,108413,37.0,-888888888,661607,19977,33,02
"Congressional District 1 (116th Congress), Louisiana",802133,92707,31.6,-888888888,793659,30073,22,01
"Congressional District 3 (116th Congress), Louisiana",785605,84138,22.3,-888888888,777423,34038,22,03
"Congressional District 5 (116th Congress), Louisiana",743209,78064,18.8,-888888888,702707,39678,22,05
"Congressional District 1 (116th Congress), New York",715479,129089,37.1,-888888888,708830,15662,36,01
"Congressional District 2 (116th Congress), New York",710764,134252,33.2,-888888888,707342,13071,36,02
"Congressional District 4 (116th Congress), New York",722351,149780,43.7,-888888888,716897,12590,36,04
"Congressional District 6 (116th Congress), New York",729584,112061,38.2,-888888888,725188,29193,36,06
"Congressional District 8 (116th Congress), New York",773165,112635,35.3,-888888888,768298,49114,36,08
"Congressional District 9 (116th Congress), New York",720840,125179,40.1,-888888888,717166,41785,36,09
"Congressional District 11 (116th Congress), New York",729841,120052,36.7,-888888888,724614,28227,36,11
"Congressional District 13 (116th Congress), New York",759560,137152,32.6,-888888888,753161,62104,36,13
"Congressional District 15 (116th Congress), New York",735959,94277,14.2,-888888888,732537,72014,36,15
"Congressional District 16 (116th Congress), New York",745591,140255,40.7,-888888888,736592,30522,36,16
"Congressional District 18 (116th Congress), New York",724007,124353,37.0,-888888888,708107,21447,36,18
"Congressional District 20 (116th Congress), New York",726000,110199,39.8,-888888888,716600,29788,36,20
"Congressional District 22 (116th Congress), New York",692234,84768,25.8,-888888888,679677,33498,36,22
"Congressional District 23 (116th Congress), New York",691390,81037,27.0,-888888888,678435,36171,36,23
"Congressional District 25 (116th Congress), New York",716440,92751,39.1,-888888888,709341,36576,36,25
"Congressional District 27 (116th Congress), New York",715117,95805,31.7,-888888888,698786,24789,36,27
"Congressional District 2 (116th Congress), North Carolina",865706,101507,37.4,-888888888,855246,25309,37,02
"Congressional District 3 (116th Congress), North Carolina",760373,77190,24.8,-888888888,702829,35025,37,03
"Congressional District 5 (116th Congress), North Carolina",761079,76433,27.0,-888888888,750903,39317,37,05
"Congressional District 7 (116th Congress), North Carolina",807268,77178,27.2,-888888888,793338,38299,37,07
"Congressional District 8 (116th Congress), North Carolina",798557,82035,27.6,-888888888,755660,32887,37,08
"Congressional District 10 (116th Congress), North Carolina",765741,78697,25.7,-888888888,757436,35177,37,10
"Congressional District 12 (116th Congress), North Carolina",885774,90598,41.4,-888888888,881198,31019,37,12
"Congressional District 13 (116th Congress), North Carolina",783838,82067,29.7,-888888888,776302,35709,37,13
"Congressional District 1 (116th Congress), New Jersey",725464,106820,32.2,-888888888,718720,27393,34,01
"Congressional District 2 (116th Congress), New Jersey",712096,98947,27.8,-888888888,694283,29945,34,02
"Congressional District 3 (116th Congress), New Jersey",740858,109975,35.1,-888888888,722804,20121,34,03
"Congressional District 4 (116th Congress), New Jersey",742779,130384,43.0,-888888888,736994,19344,34,04
"Congressional District 5 (116th Congress), New Jersey",735376,146452,49.5,-888888888,727829,15445,34,05
"Congressional District 6 (116th Congress), New Jersey",733029,127520,41.1,-888888888,726387,20732,34,06
"Congressional District 7 (116th Congress), New Jersey",738017,158652,54.7,-888888888,729426,13503,34,07
"Congressional District 8 (116th Congress), New Jersey",762224,119362,35.1,-888888888,756143,33752,34,08
"Congressional District 9 (116th Congress), New Jersey",753721,126014,35.4,-888888888,751127,27838,34,09
"Congressional District 2 (116th Congress), Nebraska",675243,103789,41.0,-888888888,666746,23328,31,02
"Congressional District 10 (116th Congress), New Jersey",758408,107992,31.2,-888888888,747815,39354,34,10
"Congressional District 11 (116th Congress), New Jersey",735124,154439,56.1,-888888888,727802,12149,34,11
"Congressional District 12 (116th Congress), New Jersey",748322,133807,47.3,-888888888,740830,22499,34,12
"Congressional District 1 (116th Congress), Indiana",715976,87185,24.0,-888888888,703642,29435,18,01
"Congressional District 2 (116th Congress), Indiana",724543,75933,22.8,-888888888,714503,29183,18,02
"Congressional District 3 (116th Congress), Indiana",747367,76786,24.0,-888888888,739606,27240,18,03
"Congressional District 5 (116th Congress), Indiana",782573,105286,46.9,-888888888,773469,23938,18,05
"Congressional District 7 (116th Congress), Indiana",766338,73395,25.7,-888888888,757829,43470,18,07
"Congressional District 9 (116th Congress), Indiana",758280,84543,27.1,-888888888,749348,29358,18,09
"Congressional District 1 (116th Congress), Massachusetts",727193,94861,30.6,-888888888,719179,35992,25,01
"Congressional District 3 (116th Congress), Massachusetts",768471,127000,39.0,-888888888,757206,26177,25,03
"Congressional District 5 (116th Congress), Massachusetts",771266,161909,59.2,-888888888,765420,22026,25,05
"Congressional District 6 (116th Congress), Massachusetts",773421,135681,46.3,-888888888,765672,24453,25,06
"Congressional District 8 (116th Congress), Massachusetts",770058,134538,49.2,-888888888,760421,23326,25,08
"Congressional District 3 (116th Congress), Ohio",797029,79754,29.1,-888888888,791760,43717,39,03
"Congressional District 4 (116th Congress), Ohio",710636,79408,18.9,-888888888,689839,28008,39,04
"Congressional District 6 (116th Congress), Ohio",692579,73463,16.9,-888888888,675658,31274,39,06
"Congressional District 8 (116th Congress), Ohio",732249,86963,25.5,-888888888,724827,27197,39,08
"Congressional District 10 (116th Congress), Ohio",723673,85331,30.5,-888888888,710757,38920,39,10
"Congressional District 12 (116th Congress), Ohio",789894,109745,42.4,-888888888,779152,23893,39,12
"Congressional District 13 (116th Congress), Ohio",705582,71935,23.5,-888888888,695869,43461,39,13
"Congressional District 15 (116th Congress), Ohio",768439,95202,33.1,-888888888,747757,26274,39,15
"Congressional District 1 (116th Congress), Oklahoma",806758,89269,30.8,-888888888,800891,32243,40,01
"Congressional District 3 (116th Congress), Oklahoma",778830,82718,23.4,-888888888,757045,29744,40,03
"Congressional District 5 (116th Congress), Oklahoma",821362,85570,31.9,-888888888,809888,37277,40,05
"Congressional District 1 (116th Congress), Oregon",851961,113569,42.2,-888888888,844438,23747,41,01
"Congressional District 3 (116th Congress), Oregon",843221,108514,42.4,-888888888,838295,33610,41,03
"Congressional District 5 (116th Congress), Oregon",839214,98776,32.0,-888888888,829763,29125,41,05
"Congressional District 2 (116th Congress), Rhode Island",525195,105616,34.6,-888888888,517432,20075,44,02
"Congressional District 1 (116th Congress), Pennsylvania",709715,123000,42.4,-888888888,702855,16914,42,01
"Congressional District 3 (116th Congress), Pennsylvania",721131,85856,41.1,-888888888,714181,50714,42,03
"Congressional District 5 (116th Congress), Pennsylvania",717928,109108,38.4,-888888888,709131,26565,42,05
"Congressional District 6 (116th Congress), Pennsylvania",731115,125942,46.3,-888888888,724813,20398,42,06
"Congressional District 8 (116th Congress), Pennsylvania",694063,84406,25.2,-888888888,679923,33101,42,08
"Congressional District 10 (116th Congress), Pennsylvania",736031,93250,32.2,-888888888,721320,26442,42,10
"Congressional District 12 (116th Congress), Pennsylvania",696809,82329,23.9,-888888888,682891,30176,42,12
"Congressional District 13 (116th Congress), Pennsylvania",695441,82244,21.0,-888888888,680200,28010,42,13
"Congressional District 15 (116th Congress), Pennsylvania",677288,77265,21.2,-888888888,653837,32046,42,15
"Congressional District 17 (116th Congress), Pennsylvania",709873,101872,42.3,-888888888,704326,25558,42,17
"Congressional District 18 (116th Congress), Pennsylvania",693130,91589,39.1,-888888888,683522,42649,42,18
"Congressional District 2 (116th Congress), South Carolina",724704,82954,34.5,-888888888,703806,26651,45,02
"Congressional District 4 (116th Congress), South Carolina",739881,82676,33.0,-888888888,732270,29440,45,04
"Congressional District 5 (116th Congress), South Carolina",729840,83602,25.3,-888888888,717551,28284,45,05
"Congressional District 7 (116th Congress), South Carolina",730743,69592,22.0,-888888888,722712,35582,45,07
"Congressional District 1 (116th Congress), Tennessee",720629,68185,21.0,-888888888,709267,35815,47,01
"Congressional District 2 (116th Congress), Tennessee",754370,83994,32.2,-888888888,746811,30739,47,02
"Congressional District 3 (116th Congress), Tennessee",736098,79413,24.9,-888888888,724752,32960,47,03
"Congressional District 4 (116th Congress), Tennessee",800304,80193,24.1,-888888888,791419,27539,47,04
"Congressional District 5 (116th Congress), Tennessee",773359,88732,40.6,-888888888,766002,30746,47,05
"Congressional District 6 (116th Congress), Tennessee",786772,81461,23.8,-888888888,777061,29363,47,06
"Congressional District 7 (116th Congress), Tennessee",789106,89901,31.1,-888888888,762354,26502,47,07
"Congressional District 8 (116th Congress), Tennessee",708450,91344,30.1,-888888888,694162,28159,47,08
"Congressional District 9 (116th Congress), Tennessee",703180,67916,25.2,-888888888,692306,48291,47,09
"Congressional District 1 (116th Congress), Utah",773796,92848,30.9,-888888888,766350,16040,49,01
"Congressional District 1 (116th Congress), Ohio",747788,97892,36.3,-888888888,735375,35602,39,01
"Congressional District 2 (116th Congress), Utah",781231,90766,33.9,-888888888,772730,20906,49,02
"Congressional District 3 (116th Congress), Utah",770532,105402,42.5,-888888888,766974,15789,49,03
"Congressional District 4 (116th Congress), Utah",825680,98564,32.3,-888888888,818509,14849,49,04
"Congressional District (at Large) (116th Congress), Vermont",624340,90698,39.7,-888888888,618184,27971,50,00
"Congressional District 1 (116th Congress), Virginia",800745,118025,38.2,-888888888,782543,16229,51,01
"Congressional District 2 (116th Congress), Virginia",739205,98846,36.6,-888888888,682453,19368,51,02
"Congressional District 3 (116th Congress), Virginia",740270,86118,27.6,-888888888,706064,33934,51,03
"Congressional District 4 (116th Congress), Virginia",775135,92729,31.1,-888888888,746943,33689,51,04
"Congressional District 5 (116th Congress), Virginia",739280,84889,29.9,-888888888,723045,30458,51,05
"Congressional District 6 (116th Congress), Virginia",756347,81429,28.0,-888888888,745068,31070,51,06
"Congressional District 8 (116th Congress), Virginia",800273,165228,63.4,-888888888,783900,15886,51,08
"Congressional District 10 (116th Congress), Virginia",853906,163156,55.8,-888888888,846905,8949,51,10
"Congressional District 11 (116th Congress), Virginia",800969,148422,56.9,-888888888,792309,10963,51,11
"Congressional District 2 (116th Congress), Washington",753529,103700,32.8,-888888888,738759,24292,53,02
"Congressional District 5 (116th Congress), Washington",724483,85221,30.8,-888888888,710906,33791,53,05
"Congressional District 7 (116th Congress), Washington",798799,151968,62.4,-888888888,793241,26083,53,07
"Congressional District 9 (116th Congress), Washington",750506,128052,44.2,-888888888,744851,21751,53,09
"Congressional District 1 (116th Congress), West Virginia",608716,77786,23.9,-888888888,597454,28323,54,01
"Congressional District 2 (116th Congress), West Virginia",621458,78637,22.3,-888888888,614055,25594,54,02
"Congressional District 1 (116th Congress), Wisconsin",719909,97600,30.0,-888888888,709157,26247,55,01
"Congressional District 3 (116th Congress), Wisconsin",723425,84747,26.8,-888888888,711922,31266,55,03
"Congressional District 4 (116th Congress), Wisconsin",708155,80194,28.7,-888888888,702891,48398,55,04
"Congressional District 6 (116th Congress), Wisconsin",714867,87420,27.3,-888888888,699087,26148,55,06
"Congressional District 8 (116th Congress), Wisconsin",733446,88167,27.0,-888888888,725756,26681,55,08
"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",3255642,40518,,-888888888,3230810,198627,72,98
"Congressional District 1 (116th Congress), Texas",722673,80103,21.9,-888888888,708754,30384,48,01
"Congressional District 3 (116th Congress), Texas",896996,140079,55.2,-888888888,894424,16529,48,03
"Congressional District 5 (116th Congress), Texas",758131,87912,20.5,-888888888,734807,25410,48,05
"Congressional District 6 (116th Congress), Texas",802430,101310,30.4,-888888888,797646,20123,48,06
"Congressional District 8 (116th Congress), Texas",879149,111795,31.9,-888888888,852894,22627,48,08
"Congressional District 10 (116th Congress), Texas",904588,115245,41.0,-888888888,897809,22376,48,10
"Congressional District 12 (116th Congress), Texas",824946,105952,32.1,-888888888,814077,24501,48,12
"Congressional District 13 (116th Congress), Texas",712033,83099,21.2,-888888888,679942,28260,48,13
"Congressional District 15 (116th Congress), Texas",794094,77456,20.6,-888888888,779638,34471,48,15
"Congressional District 17 (116th Congress), Texas",790135,95929,32.3,-888888888,776001,38835,48,17
"Congressional District 19 (116th Congress), Texas",731230,88357,24.2,-888888888,702070,32314,48,19
"Congressional District 20 (116th Congress), Texas",823263,85801,24.9,-888888888,812733,32143,48,20
"Congressional District 22 (116th Congress), Texas",941210,131277,46.5,-888888888,935153,16757,48,22
"Congressional District 24 (116th Congress), Texas",813614,129639,47.2,-888888888,811290,18783,48,24
"Congressional District 26 (116th Congress), Texas",901361,127469,45.2,-888888888,897485,16169,48,26
"Congressional District 27 (116th Congress), Texas",740663,87649,20.1,-888888888,729518,30501,48,27
"Congressional District 29 (116th Congress), Texas",739994,72320,10.9,-888888888,738956,32398,48,29
"Congressional District 31 (116th Congress), Texas",884928,106871,36.3,-888888888,863331,23203,48,31
"Congressional District 33 (116th Congress), Texas",738970,67767,12.0,-888888888,735348,31310,48,33
"Congressional District 34 (116th Congress), Texas",719488,71526,16.5,-888888888,704742,34659,48,34
"Congressional District 36 (116th Congress), Texas",748782,100775,19.4,-888888888,730828,26159,48,36
"Congressional District 9 (116th Congress), California",775716,106095,21.4,-888888888,767358,23035,06,09
"Congressional District 12 (116th Congress), California",763777,193345,60.6,-888888888,759732,28909,06,12
"Congressional District 14 (116th Congress), California",749549,166340,49.4,-888888888,745785,13301,06,14
"Congressional District 16 (116th Congress), California",736400,76904,13.1,-888888888,720868,34109,06,16
"Congressional District 18 (116th Congress), California",744487,213867,64.6,-888888888,740559,14580,06,18
"Congressional District 21 (116th Congress), California",713346,71898,9.5,-888888888,674222,27834,06,21
"Congressional District 23 (116th Congress), California",748143,91162,21.7,-888888888,730613,30381,06,23
"Congressional District 25 (116th Congress), California",710525,111357,28.7,-888888888,703821,16350,06,25
"Congressional District 4 (116th Congress), Washington",732957,86748,22.0,-888888888,725332,23100,53,04
"Congressional District 27 (116th Congress), California",711767,132758,44.4,-888888888,706410,21182,06,27
"Congressional District 30 (116th Congress), California",773221,136020,45.0,-888888888,769394,24491,06,30
"Congressional District 32 (116th Congress), California",707305,103735,23.3,-888888888,703612,15271,06,32
"Congressional District 34 (116th Congress), California",734546,110323,29.5,-888888888,721139,41834,06,34
"Congressional District 36 (116th Congress), California",755516,75218,22.2,-888888888,745028,37838,06,36
"Congressional District 39 (116th Congress), California",732667,131595,42.5,-888888888,730426,14090,06,39
"Congressional District 41 (116th Congress), California",768401,95995,18.8,-888888888,764564,16940,06,41
"Congressional District 43 (116th Congress), California",727766,107281,28.3,-888888888,724892,27005,06,43
"Congressional District 45 (116th Congress), California",781871,152856,56.1,-888888888,779566,17167,06,45
"Congressional District 48 (116th Congress), California",720586,145732,46.1,-888888888,718693,17128,06,48
"Congressional District 50 (116th Congress), California",748893,118440,30.0,-888888888,739911,20311,06,50
"Congressional District 52 (116th Congress), California",774895,150974,59.6,-888888888,749649,18707,06,52
