name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district
"Congressional District 1 (118th Congress), Alabama",724287,92780,26.6,-888888888,713431,28554,01,01
"Congressional District 2 (118th Congress), Alabama",717019,91181,25.3,-888888888,694978,30633,01,02
"Congressional District 3 (118th Congress), Alabama",721038,87650,23.5,-888888888,707551,32993,01,03
"Congressional District 4 (118th Congress), Alabama",721519,87827,19.1,-888888888,713903,27171,01,04
"Congressional District 5 (118th Congress), Alabama",732520,107755,36.1,-888888888,721574,23839,01,05
"Congressional District 6 (118th Congress), Alabama",714716,111002,39.2,-888888888,707891,20262,01,06
"Congressional District 7 (118th Congress), Alabama",723154,83080,24.1,-888888888,710538,44231,01,07
"Congressional District (at Large) (118th Congress), Alaska",733971,124580,31.2,-888888888,704133,18296,02,00
"Congressional District 1 (118th Congress), Arizona",800544,136950,51.3,-888888888,796454,21894,04,01
"Congressional District 2 (118th Congress), Arizona",811584,93118,25.5,-888888888,792814,25673,04,02
"Congressional District 3 (118th Congress), Arizona",803591,90645,19.3,-888888888,794871,24861,04,03
"Congressional District 4 (118th Congress), Arizona",803744,113595,38.4,-888888888,799635,23563,04,04
"Congressional District 5 (118th Congress), Arizona",812986,131314,40.2,-888888888,811684,12017,04,05
"Congressional District 6 (118th Congress), Arizona",798431,105160,38.9,-888888888,774021,27288,04,06
"Congressional District 7 (118th Congress), Arizona",804461,84502,21.6,-888888888,782303,32590,04,07
"Congressional District 8 (118th Congress), Arizona",796518,108304,32.2,-888888888,790335,23427,04,08
"Congressional District 9 (118th Congress), Arizona",836316,99234,22.6,-888888888,812844,21556,04,09
"Congressional District 1 (118th Congress), Arkansas",753522,82511,17.7,-888888888,731359,34644,05,01
"Congressional District 2 (118th Congress), Arkansas",755024,95435,32.7,-888888888,744854,29603,05,02
"Congressional District 3 (118th Congress), Arkansas",770992,106338,31.6,-888888888,764629,22285,05,03
"Congressional District 4 (118th Congress), Arkansas",753113,77972,18.7,-888888888,736864,35897,05,04
"Congressional District 1 (118th Congress), California",762487,103319,23.3,-888888888,746351,28315,06,01
"Congressional District 2 (118th Congress), California",758158,152352,42.4,-888888888,748613,22391,06,02
"Congressional District 3 (118th Congress), California",770955,143882,40.8,-888888888,761376,18586,06,03
"Congressional District 4 (118th Congress), California",763128,139847,35.7,-888888888,750426,20797,06,04
"Congressional District 5 (118th Congress), California",764588,122406,30.8,-888888888,754652,21661,06,05
"Congressional District 6 (118th Congress), California",755796,119735,30.0,-888888888,752397,23289,06,06
"Congressional District 7 (118th Congress), California",757893,130428,34.2,-888888888,751957,21654,06,07
"Congressional District 8 (118th Congress), California",751024,133154,29.9,-888888888,744847,18196,06,08
"Congressional District 9 (118th Congress), California",767049,125811,21.6,-888888888,757731,17840,06,09
"Congressional District 10 (118th Congress), California",756742,197423,55.2,-888888888,751566,12540,06,10
"Congressional District 11 (118th Congress), California",723466,246103,64.2,-888888888,719966,25854,06,11
"Congressional District 12 (118th Congress), California",746726,187084,53.6,-888888888,742524,25232,06,12
"Congressional District 13 (118th Congress), California",779049,97159,13.7,-888888888,764602,21108,06,13
"Congressional District 14 (118th Congress), California",743389,195163,47.1,-888888888,739348,11599,06,14
"Congressional District 15 (118th Congress), California",742872,209489,48.2,-888888888,739004,11126,06,15
"Congressional District 16 (118th Congress), California",745878,250001,62.7,-888888888,741859,12776,06,16
"Congressional District 17 (118th Congress), California",745398,250001,63.3,-888888888,740937,10376,06,17
"Congressional District 18 (118th Congress), California",756539,151326,23.9,-888888888,745175,12653,06,18
"Congressional District 19 (118th Congress), California",747226,181778,47.2,-888888888,739237,13393,06,19
"Congressional District 20 (118th Congress), California",770763,120051,28.8,-888888888,757378,18769,06,20
"Congressional District 21 (118th Congress), California",757752,93208,16.5,-888888888,750069,29205,06,21
"Congressional District 22 (118th Congress), California",781420,85405,10.0,-888888888,754136,26621,06,22
"Congressional District 23 (118th Congress), California",765033,100689,20.9,-888888888,740991,22645,06,23
"Congressional District 24 (118th Congress), California",758508,142779,38.5,-888888888,745456,20730,06,24
"Congressional District 25 (118th Congress), California",773254,96241,17.2,-888888888,756760,26168,06,25
"Congressional District 26 (118th Congress), California",753063,153701,37.0,-888888888,746568,12221,06,26
"Congressional District 27 (118th Congress), California",744880,131091,29.7,-888888888,735189,15389,06,27
"Congressional District 28 (118th Congress), California",745250,164277,48.1,-888888888,740072,17608,06,28
"Congressional District 29 (118th Congress), California",737543,121336,24.5,-888888888,733751,25068,06,29
"Congressional District 30 (118th Congress), California",744924,168298,50.6,-888888888,740282,34178,06,30
"Congressional District 31 (118th Congress), California",741057,125631,25.0,-888888888,736855,15138,06,31
"Congressional District 32 (118th Congress), California",763455,178504,51.9,-888888888,759483,20066,06,32
"Congressional District 33 (118th Congress), California",759341,116823,20.9,-888888888,751137,17410,06,33
"Congressional District 34 (118th Congress), California",753344,129723,28.5,-888888888,740863,35811,06,34
"Congressional District 35 (118th Congress), California",762560,121891,22.7,-888888888,752966,14353,06,35
"Congressional District 36 (118th Congress), California",737417,206914,66.5,-888888888,733839,19486,06,36
"Congressional District 37 (118th Congress), California",747049,123795,28.8,-888888888,744232,33898,06,37
"Congressional District 38 (118th Congress), California",744868,132648,30.0,-888888888,741217,13725,06,38
"Congressional District 39 (118th Congress), California",759641,115965,19.7,-888888888,755939,13969,06,39
"Congressional District 40 (118th Congress), California",754183,177389,50.7,-888888888,752021,12370,06,40
"Congressional District 41 (118th Congress), California",781445,129430,30.5,-888888888,774047,17884,06,41
