name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,state_name,composite_score
"Congressional District 1 (119th Congress), Alabama",735406,0.9997679350244818,0.21825962910128394,1.0,0.2248388883137746,0.8578895803277277,1,01,Alabama,0.5501260054612114
"Congressional District 2 (119th Congress), Alabama",710301,0.9997516916157682,0.22824536376604854,1.0,0.21621082276404918,0.797554962210116,1,02,Alabama,0.5402938067259969
"Congressional District 3 (119th Congress), Alabama",726115,0.999760878670618,0.19828815977175468,1.0,0.22283956930452883,0.8302146809930879,1,03,Alabama,0.5418505481233317
"Congressional District 4 (119th Congress), Alabama",727005,0.9997646482570212,0.15977175463623394,1.0,0.2242564291888103,0.8610441204969747,1,04,Alabama,0.5408061587631733
"Congressional District 5 (119th Congress), Alabama",745693,0.9997891130826994,0.36947218259629105,1.0,0.22937570858584663,0.8775919984496457,1,05,Alabama,0.5793715004524138
"Congressional District 6 (119th Congress), Alabama",721709,0.9997966327628155,0.4022824536376605,1.0,0.22116983235903429,0.9017301522361706,1,06,Alabama,0.5874965118326134
"Congressional District 7 (119th Congress), Alabama",720539,0.9997596356367563,0.23537803138373753,1.0,0.22150876869138772,0.7844361663185547,1,07,Alabama,0.5401804336717394
"Congressional District (at Large) (119th Congress), Alaska",735706,0.9998195156817096,0.3067047075606277,1.0,0.21960392779502427,0.9046801317801081,2,00,Alaska,0.5718013804695782
"Congressional District 1 (119th Congress), Arizona",804578,0.9998369166563353,0.6034236804564908,1.0,0.24955691947720865,0.8875831700437113,4,01,Arizona,0.6234001144389577
"Congressional District 2 (119th Congress), Arizona",826257,0.9997700942147844,0.22824536376604854,1.0,0.25241745481576455,0.8642309597123232,4,02,Arizona,0.5574439787514868
"Congressional District 3 (119th Congress), Arizona",815927,0.9997686832438991,0.1455064194008559,1.0,0.2515861721459815,0.8669117805387481,4,03,Arizona,0.5439621758882475
"Congressional District 4 (119th Congress), Arizona",804739,0.9998009541422961,0.41369472182596295,1.0,0.24964204332148876,0.8769675502250167,4,04,Arizona,0.5900175449191275
"Congressional District 5 (119th Congress), Arizona",840221,0.9998295814070575,0.4365192582025677,1.0,0.26153880212977987,0.9331625072672853,4,05,Arizona,0.6051750248344484
