name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,state_name,composite_score
"Congressional District 1 (118th Congress), Alabama",718903,0.9997589983757296,0.23165467625899278,1.0,0.21817326200835413,0.8363718363665305,1,01,Alabama,0.5476597955016012
"Congressional District 2 (118th Congress), Alabama",714527,0.9997588574285847,0.22014388489208636,1.0,0.21370990358307554,0.8344033533188306,1,02,Alabama,0.5446693332037629
"Congressional District 3 (118th Congress), Alabama",717658,0.999751940522428,0.18129496402877693,1.0,0.21711312578084888,0.8222316549052899,1,03,Alabama,0.5367319475395572
"Congressional District 4 (118th Congress), Alabama",717747,0.9997534444584513,0.1251798561151079,1.0,0.21887868405043537,0.8549371252719266,1,04,Alabama,0.5331248516493202
"Congressional District 5 (118th Congress), Alabama",720871,0.9997810910909503,0.37266187050359717,1.0,0.21869254385235015,0.8732265081975912,1,05,Alabama,0.5773936689407481
"Congressional District 6 (118th Congress), Alabama",711393,0.9997856763714678,0.4172661870503597,1.0,0.21719695050581442,0.8876107603332095,1,06,Alabama,0.5869765957101419
"Congressional District 7 (118th Congress), Alabama",726993,0.9997447222292916,0.2028776978417266,1.0,0.22017550185431387,0.7639571284554572,1,07,Alabama,0.5311258417301316
"Congressional District (at Large) (118th Congress), Alaska",734821,0.9998051210796924,0.30071942446043165,1.0,0.21769527616856907,0.9012203533718894,2,00,Alaska,0.5699066958467637
"Congressional District 1 (118th Congress), Arizona",789173,0.9998240424841564,0.5870503597122303,1.0,0.24197424485325433,0.8770042977662227,4,01,Arizona,0.6176421574693106
"Congressional District 2 (118th Congress), Arizona",798999,0.9997582261653088,0.21870503597122304,1.0,0.24003826352151367,0.8662545763251446,4,02,Arizona,0.5541260169971983
"Congressional District 3 (118th Congress), Arizona",807937,0.9997529931277005,0.11798561151079134,1.0,0.24657659206882504,0.8585610441980156,4,03,Arizona,0.5371460401508887
"Congressional District 4 (118th Congress), Arizona",801287,0.9997864380858246,0.3942446043165468,1.0,0.24579751521326304,0.868674059532021,4,04,Arizona,0.584750436191276
"Congressional District 5 (118th Congress), Arizona",787758,0.9998124053480882,0.4302158273381295,1.0,0.24241370830105158,0.9338356237066907,4,05,Arizona,0.6010462607823267
"Congressional District 6 (118th Congress), Arizona",784933,0.9997756901163185,0.4071942446043166,1.0,0.234289489920385,0.8585981853875948,4,06,Arizona,0.5833096016714359
"Congressional District 7 (118th Congress), Arizona",806472,0.9997443518681772,0.1597122302158273,1.0,0.24185713678161133,0.8162784528041598,4,07,Arizona,0.5362653619449627
"Congressional District 8 (118th Congress), Arizona",784453,0.9997794806948496,0.3122302158273381,1.0,0.23985458875651566,0.8756088502148883,4,08,Arizona,0.5712455225822654
"Congressional District 9 (118th Congress), Arizona",811270,0.999766837436078,0.1726618705035971,1.0,0.24304177738002125,0.8869156894996552,4,09,Arizona,0.5503976958032252
"Congressional District 1 (118th Congress), Arkansas",754109,0.9997440894665779,0.11223021582733816,1.0,0.2256475305914019,0.8119700748129676,5,01,Arkansas,0.5249319851163808
"Congressional District 2 (118th Congress), Arkansas",751268,0.99976403348756,0.32661870503597124,1.0,0.22852499918332528,0.8311349286358571,5,02,Arkansas,0.5643404443904523
"Congressional District 3 (118th Congress), Arkansas",758572,0.999775940522416,0.30647482014388494,1.0,0.23186905098700533,0.8754815089934738,5,03,Arkansas,0.5689335534411301
"Congressional District 4 (118th Congress), Arkansas",754720,0.9997380767213604,0.11798561151079134,1.0,0.22748520277878964,0.8149254523266303,5,04,Arkansas,0.5266890572229287
"Congressional District 1 (118th Congress), California",766231,0.9997739342747599,0.1856115107913669,1.0,0.23098858319573135,0.8461399692258715,6,01,California,0.5437523329146216
"Congressional District 2 (118th Congress), California",763623,0.9998456148944916,0.46762589928057546,1.0,0.2323045081060358,0.878765851329124,6,02,California,0.5964236456017046
"Congressional District 3 (118th Congress), California",764866,0.9998300687243132,0.43741007194244613,1.0,0.23267709668134215,0.899877964662811,6,03,California,0.5949658670018187
"Congressional District 4 (118th Congress), California",764345,0.9998261312008865,0.3683453237410072,1.0,0.23169616249176392,0.8870960895633258,6,04,California,0.5811606178328306
"Congressional District 5 (118th Congress), California",761352,0.9998012765214037,0.2935251798561151,1.0,0.23163113669408844,0.8865283599511858,6,05,California,0.5685809921704655
"Congressional District 6 (118th Congress), California",755594,0.9997970900913171,0.28057553956834536,1.0,0.231819434146125,0.8732901788082984,6,06,California,0.564247040435681
"Congressional District 7 (118th Congress), California",753515,0.9998108654255599,0.33956834532374097,1.0,0.23047053406827894,0.8757839443943334,6,07,California,0.5742722815353188
"Congressional District 8 (118th Congress), California",752780,0.9998175964014406,0.28776978417266186,1.0,0.23014386418422209,0.903825542526662,6,08,California,0.5702594645474978
"Congressional District 9 (118th Congress), California",762122,0.9998028749220027,0.15251798561151075,1.0,0.23181419510081464,0.9019048124369926,6,09,California,0.54767331134522
"Congressional District 10 (118th Congress), California",755993,0.9999097233537874,0.6474820143884892,1.0,0.23151063865195048,0.9323287525866185,6,10,California,0.6352051881634743
"Congressional District 11 (118th Congress), California",735920,0.9999812360364956,0.7798561151079137,1.0,0.22568266301289483,0.8628747280734335,6,11,California,0.6447324570384563
"Congressional District 12 (118th Congress), California",750210,0.9998944740722756,0.6287769784172661,1.0,0.22993430237180826,0.8664031410834616,6,12,California,0.6208348159908019
"Congressional District 13 (118th Congress), California",770975,0.9997631863052538,0.0474820143884892,1.0,0.23330331668549642,0.8877646309757521,6,13,California,0.5280521913924986
"Congressional District 14 (118th Congress), California",751587,0.9999058023241755,0.525179856115108,1.0,0.23043540164678603,0.9373905661378469,6,14,California,0.6154852710373194
"Congressional District 15 (118th Congress), California",752065,0.9999240849681749,0.5482014388489209,1.0,0.23059473026004773,0.9380538016660477,6,15,California,0.6194623426238651
"Congressional District 16 (118th Congress), California",749237,0.9999969081594416,0.7553956834532374,1.0,0.22964492216319565,0.9296651987053642,6,16,California,0.6524504520802065
"Congressional District 17 (118th Congress), California",751593,0.9999758845433082,0.7568345323741008,1.0,0.23024094061203143,0.9440812861463362,6,17,California,0.6551887739459628
"Congressional District 18 (118th Congress), California",759200,0.9998434482070006,0.19712230215827337,1.0,0.2305253899544696,0.9301161988645408,6,18,California,0.5596012231973807
"Congressional District 19 (118th Congress), California",753931,0.999888311383287,0.5266187050359712,1.0,0.2298578739461044,0.9306573990555527,6,19,California,0.6145037149034859
"Congressional District 20 (118th Congress), California",762132,0.9997975729102598,0.2676258992805755,1.0,0.23070382567415726,0.895675704356131,6,20,California,0.5656338337035206
"Congressional District 21 (118th Congress), California",758893,0.9997592787705813,0.09496402877697838,1.0,0.23152389035479432,0.8370191542420544,6,21,California,0.5272110586907348
"Congressional District 22 (118th Congress), California",780816,0.9997453639886315,0.0,1.0,0.2320530339311392,0.8502201941953627,6,22,California,0.5136697653525223
"Congressional District 23 (118th Congress), California",758852,0.9997701601900436,0.1510791366906475,1.0,0.22652245115822964,0.8741232026317186,6,23,California,0.5419158251117732
"Congressional District 24 (118th Congress), California",760229,0.9998326732476157,0.4028776978417266,1.0,0.2303053500514351,0.8866557011726004,6,24,California,0.5866119037188963
"Congressional District 25 (118th Congress), California",763179,0.9997583161315714,0.09496402877697838,1.0,0.2300412405319665,0.8492226879609487,6,25,California,0.5289977122335775
"Congressional District 26 (118th Congress), California",757602,0.9998454034737746,0.37985611510791367,1.0,0.23154268928208438,0.9342600944447392,6,26,California,0.5909173837180853
"Congressional District 27 (118th Congress), California",747561,0.9998142826441012,0.28057553956834536,1.0,0.22730676705910197,0.9112696980951875,6,27,California,0.5698277145611227
"Congressional District 28 (118th Congress), California",748192,0.9998626215169998,0.5338129496402877,1.0,0.22896846895988926,0.9017403300259988,6,28,California,0.6107307283571959
"Congressional District 29 (118th Congress), California",742347,0.9997963493690883,0.2028776978417266,1.0,0.22757180111597827,0.8570170318883642,6,29,California,0.5478771467025262
"Congressional District 30 (118th Congress), California",744757,0.9998628554292825,0.5712230215827339,1.0,0.22809447293046925,0.8125059691197538,6,30,California,0.6019477198437065
"Congressional District 31 (118th Congress), California",749679,0.9998044778209149,0.20863309352517984,1.0,0.229732445037792,0.9181249005146708,6,31,California,0.5593824861497595
"Congressional District 32 (118th Congress), California",764598,0.9998750368612395,0.5928057553956834,1.0,0.23441830879919232,0.8915371146601581,6,32,California,0.6197727026193789
"Congressional District 33 (118th Congress), California",757643,0.9997928436837221,0.15395683453237408,1.0,0.23051614458039255,0.9050352841301003,6,33,California,0.5482168511544315
"Congressional District 34 (118th Congress), California",766809,0.9998084828190386,0.25467625899280577,1.0,0.23232269067505407,0.8042181779593569,6,34,California,0.5485042684077093
"Congressional District 35 (118th Congress), California",767456,0.9997970900913171,0.1726618705035971,1.0,0.23337697149897715,0.9175624767867565,6,35,California,0.5538997348134413
"Congressional District 36 (118th Congress), California",740438,0.9999195611646035,0.8,1.0,0.22718072179251778,0.893155409348968,6,36,California,0.6533759487176817
"Congressional District 37 (118th Congress), California",756145,0.9997973255030376,0.2561151079136691,1.0,0.2322675266097275,0.8189367008011885,6,37,California,0.5511861101379371
"Congressional District 38 (118th Congress), California",754110,0.9998180462327536,0.279136690647482,1.0,0.23120862309876586,0.9248262322916114,6,38,California,0.5724982653784355
"Congressional District 39 (118th Congress), California",759924,0.9997911823067394,0.1280575539568345,1.0,0.233060779705541,0.9257547620310925,6,39,California,0.5477773796667013
"Congressional District 40 (118th Congress), California",754432,0.999884607772143,0.5827338129496402,1.0,0.23184069850650227,0.9326630232928318,6,40,California,0.6245203570868529
"Congressional District 41 (118th Congress), California",770422,0.9998105760340819,0.28633093525179854,1.0,0.23523159353883952,0.906547461134398,6,41,California,0.5713200943265196
"Congressional District 42 (118th Congress), California",752589,0.9998130021242968,0.21726618705035966,1.0,0.23071615283959337,0.8787711572133496,6,42,California,0.5544277498712665
"Congressional District 43 (118th Congress), California",747415,0.999789777333605,0.16258992805755396,1.0,0.22949545528228285,0.8713057781079216,6,43,California,0.5438634897968939
"Congressional District 44 (118th Congress), California",756441,0.9998063866051198,0.1827338129496403,1.0,0.23097409877634392,0.8969915636440813,6,44,California,0.5517509769958643
"Congressional District 45 (118th Congress), California",756570,0.9998419022867214,0.3942446043165468,1.0,0.23216305388265648,0.9187509948532923,6,45,California,0.5908334258898695
"Congressional District 46 (118th Congress), California",759331,0.9998160204924073,0.17841726618705034,1.0,0.23156179638851035,0.9131108399214729,6,46,California,0.5538176538315734
"Congressional District 47 (118th Congress), California",753964,0.9999015844058969,0.6964028776978417,1.0,0.2316591809954556,0.9059744256380325,6,47,California,0.6389896781228711
"Congressional District 48 (118th Congress), California",764088,0.9998318170686833,0.3323741007194244,1.0,0.23191589421566253,0.9235103730036611,6,48,California,0.5812720308345719
"Congressional District 49 (118th Congress), California",756381,0.9998724548295026,0.5366906474820143,1.0,0.22309765642094312,0.9286836101236271,6,49,California,0.6147240614760144
"Congressional District 50 (118th Congress), California",735988,0.9998845777833889,0.702158273381295,1.0,0.22003959485538077,0.8956863161245822,6,50,California,0.6362947936907745
"Congressional District 51 (118th Congress), California",762631,0.9998388689242339,0.4964028776978417,1.0,0.229076948015727,0.9044038839072531,6,51,California,0.6049537630908426
"Congressional District 52 (118th Congress), California",769351,0.9998076671249242,0.19568345323741004,1.0,0.22855612527605146,0.8965352576006792,6,52,California,0.5534304172065108
"Congressional District 1 (118th Congress), Colorado",717038,0.9998248911659002,0.6402877697841727,1.0,0.21886327509364023,0.8577598556799491,8,01,Colorado,0.619455965287277
"Congressional District 2 (118th Congress), Colorado",718206,0.999831658128286,0.6920863309352518,1.0,0.21980876868258967,0.8820873348543534,8,02,Colorado,0.6323023487667468
"Congressional District 3 (118th Congress), Colorado",723027,0.9997576698739183,0.31366906474820144,1.0,0.21991262505138887,0.8490635114341805,8,03,Colorado,0.5637338118512815
"Congressional District 4 (118th Congress), Colorado",727411,0.999834145695447,0.525179856115108,1.0,0.22122762542428562,0.9291611397039317,8,04,Colorado,0.6125671278231287
"Congressional District 5 (118th Congress), Colorado",722030,0.999792000999729,0.43884892086330934,1.0,0.2111803692355863,0.901549318193877,8,05,Colorado,0.5918951015487502
"Congressional District 6 (118th Congress), Colorado",721810,0.9998107604649202,0.4906474820143885,1.0,0.2205465495339407,0.9071523319361172,8,06,Colorado,0.6030261873248944
"Congressional District 7 (118th Congress), Colorado",719604,0.9998194916907062,0.5309352517985613,1.0,0.21672759368183464,0.9128561574786438,8,07,Colorado,0.6100564157749576
"Congressional District 8 (118th Congress), Colorado",721664,0.9997965367988021,0.26043165467625895,1.0,0.22087137034318213,0.9109619568101024,8,08,Colorado,0.5653435864380576
"Congressional District 1 (118th Congress), Connecticut",718451,0.9998092730227117,0.41151079136690644,1.0,0.21898932036022442,0.8629330927999151,9,01,Connecticut,0.5822070795916262
"Congressional District 2 (118th Congress), Connecticut",723724,0.9998139962514986,0.41294964028776976,1.0,0.21764904929818366,0.897479704992837,9,02,Connecticut,0.5879820651383815
"Congressional District 3 (118th Congress), Connecticut",723601,0.9998168826690905,0.42446043165467623,1.0,0.22110219651597324,0.868647530110893,9,03,Connecticut,0.5856711734917722
"Congressional District 4 (118th Congress), Connecticut",722029,0.9998932655254812,0.6215827338129496,1.0,0.22114071890796108,0.8962858810420756,9,04,Connecticut,0.6231504332147446
"Congressional District 5 (118th Congress), Connecticut",723512,0.999812597276115,0.40575539568345326,1.0,0.2203986235487074,0.8785589218443254,9,05,Connecticut,0.5840875897254335
"Congressional Districts not defined (118th Congress), Connecticut",0,0.0,,1.0,0.0,1.0,9,ZZ,Connecticut,
"Congressional District (at Large) (118th Congress), Delaware",993635,0.9997851950519628,0.3553956834532374,1.0,0.301970250851653,0.8403300259988327,10,00,Delaware,0.5829135258926142
"Delegate District (at Large) (118th Congress), District of Columbia",670587,0.9998931140822725,0.7597122302158275,1.0,0.2038900835966724,0.842441767920624,11,98,,0.6343228659692327
