name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,state_name,composite_score
"Congressional District 1 (116th Congress), Alabama",722794,0.9997595099444688,0.24844720496894407,1.0,0.21689559001477865,0.834083372188664,1,01,Alabama,0.5498642795194758
"Congressional District 2 (116th Congress), Alabama",689681,0.9997577046009088,0.21583850931677012,1.0,0.20327857676753658,0.8316944242163884,1,02,Alabama,0.541761535816934
"Congressional District 3 (116th Congress), Alabama",731482,0.9997567749389428,0.22360248447204967,1.0,0.2187386633944201,0.8203783548740302,1,03,Alabama,0.5437460462799071
"Congressional District 4 (116th Congress), Alabama",702255,0.9997550400697578,0.13975155279503104,1.0,0.21195009093631534,0.8536874145401013,1,04,Alabama,0.5341906830568676
"Congressional District 5 (116th Congress), Alabama",751690,0.9997791108174052,0.38354037267080743,1.0,0.22521528898757567,0.8519114203238701,1,05,Alabama,0.5767410321332764
"Congressional District 6 (116th Congress), Alabama",731505,0.9997869019844629,0.4409937888198757,1.0,0.22039700336233067,0.8882590541652041,1,06,Alabama,0.5915727913886455
"Congressional District 7 (116th Congress), Alabama",668268,0.9997396931500435,0.18944099378881984,1.0,0.2008727816773672,0.7586376709852839,1,07,Alabama,0.5247818566002524
"Congressional District (at Large) (116th Congress), Alaska",735951,0.9998063484135565,0.327639751552795,1.0,0.21590922924472944,0.897678634108519,2,00,Alaska,0.5735056605532667
"Congressional District 1 (116th Congress), Arizona",758861,0.9997690734670811,0.2686335403726708,1.0,0.22563162392538108,0.877786451102531,4,01,Arizona,0.5619701148112773
"Congressional District 2 (116th Congress), Arizona",729613,0.999768595141005,0.41614906832298126,1.0,0.21515964375363683,0.8151708674081486,4,02,Arizona,0.574374695770962
"Congressional District 3 (116th Congress), Arizona",780580,0.9997522870707743,0.13354037267080748,1.0,0.23234593781270768,0.8491138365142316,4,03,Arizona,0.5357920723447535
"Congressional District 4 (116th Congress), Arizona",796390,0.9997535481122477,0.18478260869565216,1.0,0.2360415190625403,0.843843481996448,4,04,Arizona,0.5440701929778147
"Congressional District 5 (116th Congress), Arizona",860467,0.9998086290842829,0.45962732919254656,1.0,0.2613478661008407,0.9047040271585665,4,05,Arizona,0.6042479752560395
"Congressional District 6 (116th Congress), Arizona",769040,0.9998030990950396,0.5590062111801242,1.0,0.23344186040849516,0.8742397015910603,4,06,Arizona,0.6110818120457866
"Congressional District 7 (116th Congress), Arizona",792891,0.9997527803913983,0.11024844720496896,1.0,0.2392994616862295,0.8406477401914302,4,07,Arizona,0.5316580715790045
"Congressional District 8 (116th Congress), Arizona",821009,0.9997849661883367,0.3462732919254658,1.0,0.2462472031300596,0.889264926995636,4,08,Arizona,0.5802617313732498
"Congressional District 9 (116th Congress), Arizona",770352,0.999791163434959,0.5031055900621118,1.0,0.23370541746707665,0.8512565551998911,4,09,Arizona,0.597976454360673
"Congressional District 1 (116th Congress), Arkansas",717868,0.9997465456584064,0.12267080745341613,1.0,0.21173127162324365,0.8107754126960012,5,01,Arkansas,0.5241540062385113
"Congressional District 2 (116th Congress), Arkansas",767099,0.9997639528289938,0.34472049689440987,1.0,0.23050012538742276,0.8200535417725365,5,02,Arkansas,0.5658396861472271
"Congressional District 3 (116th Congress), Arkansas",831156,0.999771115724497,0.30900621118012417,1.0,0.2510234900554383,0.8407996689001933,5,03,Arkansas,0.5667667476433755
"Congressional District 4 (116th Congress), Arkansas",690186,0.9997426845623376,0.12422360248447206,1.0,0.20629943977386436,0.8281529136259096,5,04,Arkansas,0.5264031067410974
"Congressional District 1 (116th Congress), California",708366,0.9997773324640314,0.2515527950310559,1.0,0.21054313449079315,0.8357545879850586,6,01,California,0.5496046416618231
"Congressional District 2 (116th Congress), California",722327,0.9998389060752814,0.5139751552795031,1.0,0.21684933057724473,0.8772677979243395,6,02,California,0.6013218649760614
"Congressional District 3 (116th Congress), California",757414,0.9998000567012829,0.27018633540372666,1.0,0.22442948722630846,0.8850947458861373,6,03,California,0.5632517708695759
"Congressional District 4 (116th Congress), California",760658,0.9998177457693697,0.41770186335403725,1.0,0.22835514831019144,0.8858124780620183,6,04,California,0.5886145392492694
"Congressional District 5 (116th Congress), California",728345,0.9998248366910432,0.38043478260869557,1.0,0.21991949640515474,0.8960388518380754,6,05,California,0.5827029945904948
"Congressional District 6 (116th Congress), California",781387,0.999789822922382,0.327639751552795,1.0,0.23627372926542445,0.8281319579419423,6,06,California,0.5653058769470907
"Congressional District 7 (116th Congress), California",778765,0.9998173634083998,0.3850931677018633,1.0,0.23447782833853142,0.8954678094499657,6,07,California,0.5858093614831267
"Congressional District 8 (116th Congress), California",749184,0.9997675500210206,0.12111801242236025,1.0,0.22156718452889632,0.8680787305046653,6,08,California,0.5350885795794905
"Congressional District 9 (116th Congress), California",796370,0.9998057471321882,0.19254658385093165,1.0,0.23961749531927531,0.8876461004091597,6,09,California,0.5532693211185925
"Congressional District 10 (116th Congress), California",764549,0.9997937529933709,0.14130434782608697,1.0,0.2309347206295179,0.8916172025209688,6,10,California,0.5439416706616574
"Congressional District 11 (116th Congress), California",767298,0.9998653099745728,0.5683229813664595,1.0,0.2322914612382434,0.9061814028782632,6,11,California,0.6177768592429231
"Congressional District 12 (116th Congress), California",757251,0.9999515226268334,0.8043478260869564,1.0,0.2293083361941143,0.8554110195464142,6,12,California,0.6481697840757197
"Congressional District 13 (116th Congress), California",772203,0.9998796042770286,0.6583850931677018,1.0,0.23384845651734606,0.8574541987332289,6,13,California,0.6249278921158843
"Congressional District 14 (116th Congress), California",747495,0.9999055193540605,0.6273291925465838,1.0,0.2264229037779352,0.934057701475804,6,14,California,0.6312858861923972
"Congressional District 15 (116th Congress), California",796865,0.9999024379744793,0.5978260869565216,1.0,0.2411586650013269,0.9395114182283018,6,15,California,0.629733101360105
"Congressional District 16 (116th Congress), California",747131,0.9997587062367046,0.06366459627329193,1.0,0.22267893272173486,0.828545832700297,6,16,California,0.5191080113220048
"Congressional District 17 (116th Congress), California",780242,0.9999450134936161,0.8012422360248447,1.0,0.2360594750284252,0.9392285164947427,6,17,California,0.662745873506938
"Congressional District 18 (116th Congress), California",744528,0.9999820080420468,0.874223602484472,1.0,0.2254377603615053,0.9323760078374258,6,18,California,0.672003229787575
"Congressional District 19 (116th Congress), California",754007,0.9998963501880563,0.4425465838509316,1.0,0.22867439929685654,0.930023732312093,6,19,California,0.6001901776079896
"Congressional District 20 (116th Congress), California",744111,0.9998266975144301,0.31211180124223603,1.0,0.22126497649290158,0.9156324163475291,6,20,California,0.5748059819328496
"Congressional District 21 (116th Congress), California",710344,0.9997497679867372,0.0,1.0,0.20407898677223554,0.8688645686534402,6,21,California,0.5121155539020689
"Congressional District 22 (116th Congress), California",786891,0.9997852660792935,0.265527950310559,1.0,0.23783772432783817,0.8805211678602675,6,22,California,0.5639453514296596
"Congressional District 23 (116th Congress), California",771198,0.9997813914881317,0.19720496894409933,1.0,0.22938229042648764,0.8479246014490855,6,23,California,0.5457155420513007
"Congressional District 24 (116th Congress), California",739183,0.999823990998545,0.40993788819875765,1.0,0.2207536879727897,0.887792790196931,6,24,California,0.5863847262278372
"Congressional District 25 (116th Congress), California",745689,0.9998112171432402,0.3027950310559006,1.0,0.22473047790868386,0.9125938421722662,6,25,California,0.5733217613800151
"Congressional District 26 (116th Congress), California",722958,0.9998316217239408,0.38198757763975155,1.0,0.21777269329749444,0.9274252275001441,6,26,California,0.5878361866935552
"Congressional District 27 (116th Congress), California",708388,0.9998503289218259,0.5543478260869565,1.0,0.2139967667087871,0.9009791543333735,6,27,California,0.6115290126751571
"Congressional District 28 (116th Congress), California",704354,0.9998621521227977,0.5993788819875776,1.0,0.21319240030482534,0.8047663703183692,6,28,California,0.6028666341222616
"Congressional District 29 (116th Congress), California",703638,0.999794571695683,0.19254658385093165,1.0,0.21306123045234424,0.8589263355319339,6,29,California,0.5440547869218154
"Congressional District 30 (116th Congress), California",761222,0.9998496511682635,0.5667701863354037,1.0,0.23057225358936712,0.8794681447409092,6,30,California,0.6127767059723239
"Congressional District 31 (116th Congress), California",754741,0.99979743865323,0.24844720496894407,1.0,0.22504059874320412,0.8925444915365232,6,31,California,0.5609716223169835
"Congressional District 32 (116th Congress), California",705766,0.999802602775506,0.22049689440993786,1.0,0.21373807906468284,0.9229145165261763,6,32,California,0.5594920154627171
"Congressional District 33 (116th Congress), California",709488,0.99992627780609,0.8928571428571427,1.0,0.21498799689331355,0.8939223277573751,6,33,California,0.6669489575523202
"Congressional District 34 (116th Congress), California",716495,0.9998114150712716,0.3245341614906832,1.0,0.21367112461562057,0.7962426458646578,6,34,California,0.5557098911737055
"Congressional District 35 (116th Congress), California",739237,0.9997861387619779,0.12888198757763975,1.0,0.22140466782071788,0.9114779520010059,6,35,California,0.5435917910268903
"Congressional District 36 (116th Congress), California",747370,0.9997627967493553,0.19875776397515527,1.0,0.2241610607532497,0.8174550369605876,6,36,California,0.5400227764063913
"Congressional District 37 (116th Congress), California",712613,0.9998217043299994,0.49689440993788814,1.0,0.2161593954134985,0.8246480754823736,6,37,California,0.58958726419396
"Congressional District 38 (116th Congress), California",711540,0.9998108707691851,0.2515527950310559,1.0,0.21536294180806229,0.9210023103641574,6,38,California,0.5646214863287434
"Congressional District 39 (116th Congress), California",733331,0.9998455231692431,0.5186335403726707,1.0,0.2224935906331943,0.927645262181801,6,39,California,0.6114363193928183
"Congressional District 40 (116th Congress), California",700867,0.9997770130801624,0.03260869565217392,1.0,0.21274624020334673,0.8915962468370014,6,40,California,0.5227880326287807
"Congressional District 41 (116th Congress), California",752956,0.99978706092667,0.14440993788819878,1.0,0.22807546131615403,0.9188281581525469,6,41,California,0.5485167697139284
"Congressional District 42 (116th Congress), California",820055,0.9998177277759123,0.2795031055900621,1.0,0.24709204654186356,0.9285463565923963,6,42,California,0.5758265394167057
"Congressional District 43 (116th Congress), California",733353,0.9998083111998688,0.2996894409937888,1.0,0.22227872771938537,0.8703419443731369,6,43,California,0.5653530707143634
"Congressional District 44 (116th Congress), California",714444,0.9997805293016309,0.08540372670807453,1.0,0.21572632186342752,0.880976953986557,6,44,California,0.5303145886432816
"Congressional District 45 (116th Congress), California",806990,0.99987973323014,0.7313664596273292,1.0,0.2449075054720045,0.9054427150184148,6,45,California,0.6469327355579814
"Congressional District 46 (116th Congress), California",710498,0.9998087430428465,0.18478260869565216,1.0,0.21342947992218675,0.9152342583521498,6,46,California,0.552209181668806
"Congressional District 47 (116th Congress), California",714590,0.9998264501043908,0.38819875776397517,1.0,0.21634078110277627,0.877409248791119,6,47,California,0.5802958729603769
"Congressional District 48 (116th Congress), California",718069,0.9998678080662429,0.5854037267080745,1.0,0.2179753826751102,0.9173141099859073,6,48,California,0.6200935045725559
